('http://14.145.210.73:6006', '电信', '广东')
('http://183.30.202.56:2095', '电信', '广东')
('http://14.216.139.33:4022', '电信', '广东')
('http://120.234.49.38:7000', '移动', '广东')
('http://120.234.5.29:6000', '移动', '广东')
('http://120.234.5.28:6000', '移动', '广东')
('http://120.237.116.125:8888', '移动', '广东')
('http://120.237.204.54:7000', '移动', '广东')
('http://183.234.174.61:4000', '移动', '广东')
('http://120.234.49.37:7000', '移动', '广东')
('http://183.238.0.162:9000', '移动', '广东')
('http://183.234.194.165:8888', '移动', '广东')
('http://183.234.174.60:4000', '移动', '广东')
('http://116.199.110.136:33333', '珠江', '广东')
('http://120.83.125.2:4000', '联通', '广东')
('http://202.168.187.208:8008', '联通', '广东')
('http://202.168.187.221:4567', '联通', '广东')
